#{"t_start": 1755265808.8040416, "env_id": "None"}
r,l,t
-1.0,1,2.541044
-1.02,3,2.545835
-1.0,1,2.549528
-1.0,1,2.564266
-1.0,1,2.569235
-1.0,1,2.578048
-1.0,1,2.590916
-1.01,2,2.600872
-1.0,1,2.624242
-1.0,1,2.628788
-1.04,5,2.649646
-1.03,4,2.656176
-1.02,3,2.660225
-1.0,1,2.662764
-1.0,1,2.686348
-1.02,3,2.690313
-1.0,1,2.697649
-1.06,7,2.70759
-1.0,1,2.713661
-1.0,1,2.730205
-1.0,1,2.732742
-1.0,1,2.764662
-1.0,1,2.782298
-1.03,4,2.831033
-1.0,1,2.838101
-1.0,1,2.860364
-1.01,2,2.884496
-1.0,1,2.9186
-1.0,1,2.922863
-1.0,1,2.928881
-1.0,1,2.942969
-1.0,1,2.956469
-1.01,2,2.962571
-1.0,1,2.970694
-1.0,1,2.989618
-1.02,3,2.992129
-1.02,3,3.002384
-1.01,2,3.026418
-1.0,1,3.032568
-1.01,2,3.04132
-1.0,1,3.048455
-1.0,1,3.085498
-1.0,1,3.092747
-1.01,2,3.141171
-1.0,1,3.159691
-1.02,3,3.164389
-1.0,1,3.167976
-1.02,3,3.179906
-1.0,1,3.186206
-1.04,5,3.192141
-1.01,2,3.204953
-1.03,4,3.218497
-1.0,1,3.260953
-1.0,1,3.279471
